package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ru.otus.marketsample.details.feature.DetailsScreenPreview,DetailsScreenPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.DetailsScreen,DetailsScreen,1,1,1,0,0,0,0,0,4,4,
ru.otus.marketsample.details.feature.ProductDetails,ProductDetails,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.AddToCartBtn,AddToCartBtn,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.PriseProduct,PriseProduct,1,1,1,0,0,0,0,0,1,3,
ru.otus.marketsample.details.feature.NameProduct,NameProduct,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.ImageProduct,ImageProduct,1,1,1,0,0,0,0,0,1,2,
ru.otus.marketsample.details.feature.DiscountText,DiscountText,1,1,1,0,0,0,0,0,1,3,
ru.otus.marketsample.details.feature.ProgressBar,ProgressBar,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.ProductListScreenPreview,ProductListScreenPreview,1,1,1,0,0,0,0,0,1,0,
ru.otus.marketsample.products.feature.ProductListScreen,ProductListScreen,1,1,1,0,0,0,0,0,4,7,
ru.otus.marketsample.products.feature.ItemProduct,ItemProduct,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.ImageProduct,ImageProduct,1,1,1,0,0,0,0,0,1,2,
ru.otus.marketsample.products.feature.ProductName,ProductName,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.ProductPrise,ProductPrise,1,1,1,0,0,0,0,0,1,3,
ru.otus.marketsample.promo.feature.PromoListScreenPreview,PromoListScreenPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.PromoListScreen,PromoListScreen,1,1,1,0,0,0,0,0,4,7,
ru.otus.marketsample.promo.feature.ItemPromo,ItemPromo,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.PromoImage,PromoImage,1,1,1,0,0,0,0,0,1,2,
ru.otus.marketsample.promo.feature.NamePromo,NamePromo,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.DescriptionPromo,DescriptionPromo,1,1,1,0,0,0,0,0,1,1,
